Meal_Id,Name,Meal_Ingredient_Ids,Meal_Ingredients_Names,Meal_Ingredient_Quantities,Category,Description,CAT
1,Kottu Roti,"SLI019,SLB002,SLD055,SLH006,SLK004,SLK002","Roti,carrot,leeks, Chicken,Coconut Oil,Chilli Powder","30,20,27.5,20,5,2.5",Main,Sri Lankan street food,1
2,Hoppers,"SLI019,SLI005,SLI011,SLK004","Rice flour, Coconut milk, Sugar,Coconut Oil","70, 10, 5,15,",Main,Delicate rice flour pancakes,2
3,Kiribath,"SLA009,SLI005","Rice, Coconut milk","85,15",Main,Traditional coconut milk rice,3
4,Fish Ambul Thiyal,"SLF006,SLK005,SLK006","Fish, Goraka, Spices","80,10,10",side,Sour fish curry,"3,21,22,23,29,35"
5,Dhal Curry,"SLC009,SLI005,SLK006,SLK019","Dhal, Coconut milk, Spices,Termeric powder","80,10,5,5",Side,Spicy lentil curry,"3,21,22,23,29,35"
6,Chicken Curry,"SLH006,SLI005,SLK006","Chicken, Coconut milk, Spices","40, 10, 5",Side,Rich coconut chicken curry,"1,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,21,22,23,30,35"
7,Pol Sambol,"SLI005,SLK002,SLD060,SLE028,SLK011","Coconut, Chili, Onion,Lime,Garlic","50,5,10,3,3",Side,Coconut and chili relish,"6,21,35"
8,Pittu,"SLI019,SLI005","Rice flour, Coconut","25,10",Main,Steamed coconut rice flour,4
9,Lamprais,"SLA008,SLH006,SLK006","Rice, Meat, Spices","100,30,10",Main,Dutch-influenced rice and curry,5
10,Parippu,"SLC009,SLI005,SLK019","Dhal, Coconut milk,Termeric powder","10,10,5",Side,Creamy spiced lentil dish,"6,7,21,29,35"
11,Wambatu Moju,"SLD019,SLI017,SLD060,,SLD082","Eggplant, Vinegar,onion,tomato sause","20,0.5,5,5",Side,Sweet and tangy pickle,"7,8,9,"
12,String Hoppers,SLI019,Rice flour,85,Main,Rice noodle bundles,6
13,Jackfruit Curry,"SLD049,SLI005,SLK009","Jackfruit, Coconut milk,curry leaves","15,10,5",Side,Tender jackfruit in spices,"6,21"
14,Gotu Kola Sambol,"SLD048,SLI005,SLD060","Gotu Kola, Coconut, Onion","10,15,15",Side,Herbal green salad,"21,"
15,Eggplant Curry,"SLD019,SLK006,SLI005,","Eggplant, Spices, Coconut milk","30,2,10",Side,Spicy eggplant dish,"21,"
16,Lunu Miris,"SLD060,SLK002,SLE028,SLK011","Onion, Chili, Salt,Lime,Garlic","20, 50, 30",Side,Spicy onion relish,"3,4,22,23,29"
17,Seeni Sambol,"SLD060,SLI011,SLK002","Onion, Sugar, chillii","50,5,5",Side,Sweet caramelized onions,"3,29"
18,Beetroot Curry,"SLB001,SLI005,SLK006,SLK009","Beetroot, Coconut milk, Spices,curry leaves","30,20,5,2",Side,Sweet and spicy beetroot,"21,"
19,Fish Curry,"SLF013,SLI005,SLK006,SLK009","Fish, Coconut milk, Spices,curry leaves","50,20,3,2",Side,Spicy coconut fish curry,"21,22,23,29,35"
21,Chicken Curry,"SLH006, SLI005,SLK006,SLK009","Chicken, Coconut milk, Spices,curry leaves","50, 20,5,3",Side,Spicy chicken curry,"1,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,21,23,22,29,30,35,39"
22,Bathala Curry,"SLB010,SLI005,SLK006,SLK009","Sweet potato, Coconut milk, Spices,curry leaves","50, 20,5,3",Side,Sweet potato curry,"21,35"
23,Malu Mirisata,"SLF013,SLK002,SLK009","Fish, Chili, curry leaves","50, 10, 3",Side,Chili fish curry,"21,22,23,29,30,35"
24,Elumas Curry,"SLH018,SLI005,SLK006,SLK009","Goat, Coconut milk, Spices,curry leaves","50,20,5,2",Side,Goat meat curry,"21,29,30,35"
25,Vegetable Fried Rice,"SLA008,SLB002,SLD055,SLD060,SLK006,SLK009","Rice,carrot,leeks,onion, Spices,curry leaves","100,20,20,5,3,2.5",Main,Mixed vegetable rice,7
26,Chicken Fried Rice,"SLA008,SLH006,SLD060,SLB002,SLD055,SLK006,SLK009","Rice, Chicken, onion, carrot,leeks,Spices,curry leaves","100,50,20,20,5,5",Main,Spicy chicken rice,8
27,Egg Fried Rice,"SLA008,SLH001,SLD060,SLK006,SLK009,SLB002,SLD055","Rice, Egg, onion, Spices,curry leaves,carrort,leeks","100,30,10,5,3,2.5,20,20",Main,Egg mixed fried rice,9
28,Seafood Fried Rice,"SLA008,SLI015,SLF045,SLF006,,SLD060,SLK006,SLK009","Rice,shrimp,crab, Oninon,Spices,curry leaves","100,10,10,5,3,2",Main,Mixed seafood rice,10
29,Devilled Chicken,"SLH006,SLK002,SLK009,SLD060","Chicken, Chili, Curry leaves,Onion","50,5,10,20",Side,Sweet and spicy chicken,"7,8,9,10,11,12,1,13,14,15,16,17,18,21,39"
30,Devilled Fish,"SLF006,SLK002,SLK009,SLD060","Fish, Chili, Curry leaves,Onion","50,5,5,20",Side,Sweet and spicy fish,"7,8,9,10,11,12,1,13,14,15,16,17,18,21,39"
31,Vegetable Kottu,"SLA018, SLB002, SLD055, SLK002","Flour, Carrot, leeks, Chilli","70, 20, 20, 20",Main,Mixed vegetable stir-fry,11
32,Chicken Kottu,"SLA018, SLB002, SLD055, SLH006, SLK002","Flour, Carrot, leeks, Chicken, Chilli","70, 20, 20, 40, 20",Main,Spicy chicken stir-fry,12
33,Fish Kottu,"SLA018, SLB002, SLD055, SLF019,SLK002","Flour, Carrot, leeks, Fish, Chilli","70, 20, 20, 40, 20",Main,Spicy fish stir-fry,13
34,Egg Kottu,"SLA018, SLB002, SLD055, SLH001, SLK002","Flour, Carrot, leeks, Egg, Chilli","70, 20, 20, 40, 20",Main,Spicy egg stir-fry,14
35,Seafood Kottu,"SLA018, SLB002, SLD055, SLF019, SLF043, SLK002","Flour, Carrot, leeks, Fish, Prawn,Chilli","70, 20, 20, 30,30, 20",Main,Mixed seafood stir-fry,15
36,Chicken Biryani,"SLA008,SLH006,SLD060,SLK006,SLK009","Rice, Chicken, onion, Spices,curry leaves","100,50,20,5,3",Main,Spiced chicken rice,16
37,Vegetable Biryani,"SLA008,SLB002, SLD055,SLD060,,SLK006,SLK009","Rice, carrot,leeks,onion, Spices,curry leaves","100,20,20,10,3,2.6",Main,Spiced vegetable rice,17
38,Fish Biryani,"SLA008,SLF006,,SLD060,SLK006,SLK009","Rice, Fish, ,onion, Spices,curry leaves","100,50,20,5,3",Main,Spiced fish rice,18
39,Egg Biryani,"SLA008,SLH001,SLD060,SLK006,SLK009","Rice, Egg, onion, Spices,curry leaves","100,50,20,5,3",Main,Spiced egg rice,19
40,Seafood Biryani,"SLA008,SLI015,SLF045,SLD060,SLK006,SLK009","Rice, shrimp,crub, Oninon,Spices,curry leaves","100,20,20,5,3,2.9",Main,Spiced seafood rice,20
42,Potato Curry,"SLB006,SLI005,SLK006,SLK009,SKL019","Potato, Coconut milk, Spices,curry leaves,Turmeric Powder","20,30,10,5,2",Side,Spicy potato curry,"21,6,35"
43,Banana Blossom Curry,"SLD065,SLI005,SLK006","Banana blossom, Coconut milk, Spices","20,10,5",Side,Banana blossom in spices,"21,"
44,Cabbage Mallung,"SLD021,SLI005,SLK006","Cabbage, Coconut, Spices","20,10,5",Side,Coconut cabbage stir-fry,"21,"
