Food_Code,Price_Code,Food_Name,Energy(Kcal),Protein(g),Total fat(g),Carbohydrates(g),Total Dietary Fibre(g),Vitamin A(µg),Vitamin D(µg),Viatmin K(µg),Vitamin E(mg),Calcium(mg),Phosphorus(mg),Magnesium(mg),Sodium(mg),Potassium(mg),Saturated Fatty Acids(mg),Monounsaturated Fatty Acids(mg),Polyunsaturated Fatty Acids(mg),Free sugar(g),Starch(g)
SLA001,P1069,Barley (Hordeum vulgare),313,11.4,1.18,60.9,15.48,Na,NA,1.98,0.01,26.52,224,57.44,6.71,261,233,93.1,593,0.07,76.63
SLA005,P1072,Kurakkan,322,7.11,1.77,67.45,11.16,0.22,41.82,3.25,0.15,419,246,148,4.72,418,297,595,455,0.32,63.42
SLA006,P1071,habalapethi,350,7.29,1.17,76.08,3.93,NA,NA,0.95,0.06,11.1,214,98.29,2.48,148,305,421,608,0.28,67.23
SLA007,P1070,"Rice, kaluhinati (Oryza sativa)",348,9.88,1.9,72.28,5.21,-,ND,2.75,0.07,10.85,243,35.55,7.63,149,452,606,556,0.18,70.58
SLA008,P0624,"Rice, keeri samba (Oryza sativa)",368,8.47,1.84,79.41,1.17,-,ND,2.56,0.08,6.57,163,22.18,2.09,155,626,393,544,0.14,76.06
SLA009,P0054,"Rice, kekulu, red (Oryza sativa)",366,8.64,2.12,77.59,3.18,-,ND,2.67,0.09,4.73,195,31.7,1.61,169,551,583,663,0.18,75.49
SLA010,P0115,"Rice, kekulu, white (Oryza sativa)",361,9.88,1.52,76.67,2.36,-,ND,2.85,0.08,6.94,150,26.29,1.55,87.92,470,323,499,0.08,74.63
SLA011,P1073,"Rice, nadu, white (Oryza sativa)",366,7.76,1.48,80.11,2.45,-,ND,2.91,0.08,4.57,119,20.1,3,147,512,312,434,0.11,78.05
SLA012,P0617,"Rice, samba (Oryza sativa)",369,6.86,2.45,79.53,3.24,-,ND,2.23,0.08,8.71,192,37.26,2.16,154,672,601,806,0.16,77.13
SLA013,P0617,"Rice, samba kekulu (Oryza sativa)",355,8.81,1.53,76.12,4.42,-,ND,2.52,0.09,9.28,147,30.48,1.53,149,470,338,489,0.1,74.67
SLA014,P0629,halpiti noodles,365,7.29,1.13,80.97,2.68,-,ND,1.64,0.01,1.74,95.94,23.67,17.83,61.98,290,215,455,0.08,79.15
SLA015,P0629,Noodles,332,9.31,0.42,70.69,9.81,0.33,4.19,1.35,0.03,21.89,97,38.71,3.75,160,62.2,33.8,208,1.68,53.85
