Main Meal,Side Meal,Complete Meal,Ingredients,Quantities,Meal_Ingredient_Ids
Kottu Roti,Chicken Curry,Kottu Roti with Chicken Curry,"Roti,  Vegetables,  Chicken, Coconut Oil, Chilli Powder, Salt, Chicken","30.0, 40.0, 30.0, 2.5, 40.0, 10.0, 5.0","SLB002, SLH006, SLJ002, SLK004, , SLI006"
Kottu Roti,Chicken Curry,Kottu Roti with Chicken Curry,"Roti,  Vegetables,  Chicken, Coconut Oil, Chilli Powder, Salt, Chicken","30.0, 40.0, 30.0, 2.5, 40.0, 10.0, 5.0","SLB002, SLH006, SLJ002, SLK004, , SLI006"
Kottu Roti,Devilled Chicken,Kottu Roti with Devilled Chicken,"Roti,  Vegetables,  Chicken, Coconut Oil, Chilli Powder, Salt, Chicken,  Chili,  Curry leaves","30.0, 40.0, 30.0, 2.5, 50.0, 10.0, 5.0, 0.25, 20.0","SLB002, SLH006, SLJ002, SLK004, , SLI006, SLD060"
Kottu Roti,Devilled Fish,Kottu Roti with Devilled Fish,"Roti,  Vegetables,  Chicken, Coconut Oil, Chilli Powder, Salt, Fish,  Chili,  Curry leaves","30.0, 40.0, 30.0, 2.5, 50.0, 10.0, 5.0, 0.25, 20.0","SLB002, SLH006, SLJ002, SLK004, , SLF006, SLI006, SLD060"
Kottu Roti,Seer Fish Curry,Kottu Roti with Seer Fish Curry,"Roti,  Vegetables,  Chicken, Coconut Oil, Chilli Powder, Salt, Seer fish","30.0, 40.0, 30.0, 2.5, 50.0, 25.0, 10.0","SLB002, SLH006, SLJ002, SLK004, , SLF025,  SLI005, SLK002"
Kottu Roti,Ginger Chicken,Kottu Roti with Ginger Chicken,"Roti,  Vegetables,  Chicken, Coconut Oil, Chilli Powder, Salt, Chicken","30.0, 40.0, 30.0, 2.5, 50.0, 25.0, 10.0","SLB002, SLH006, SLJ002, SLK004, , SLK012, SLK002"
Kiribath,Fish Ambul Thiyal,Kiribath with Fish Ambul Thiyal,"Rice,  Coconut milk,  Salt, Fish,  Goraka,  Spices","50.0, 30.0, 2.5, 40.0, 0.5, 10.0","SLA009, SLI006, SLF006, SLE027, SLK004"
Kiribath,Dhal Curry,Kiribath with Dhal Curry,"Rice,  Coconut milk,  Salt, Dhal,  Spices","50.0, 50.0, 2.5, 10.0, 5.0","SLA009, SLI006, SLC001, SLK004, SLK019"
Kiribath,Chicken Curry,Kiribath with Chicken Curry,"Rice,  Coconut milk,  Salt, Chicken,  Spices","50.0, 40.0, 2.5, 40.0, 5.0","SLA009, SLI006, SLH006, SLK004"
Kiribath,Lunu Miris,Kiribath with Lunu Miris,"Rice,  Coconut milk,  Salt, Onion,  Chili","50.0, 30.0, 32.5, 20.0, 50.0","SLA009, SLI006, SLK016, SLE027, SLK011"
Kiribath,Seeni Sambol,Kiribath with Seeni Sambol,"Rice,  Coconut milk,  Salt, Onion,  Sugar,  chillii","50.0, 30.0, 2.5, 50.0, 5.0, 5.0","SLA009, SLI006, SLK016, SLK004"
Kiribath,Chicken Curry,Kiribath with Chicken Curry,"Rice,  Coconut milk,  Salt, Chicken,  Spices","50.0, 40.0, 2.5, 40.0, 5.0","SLA009, SLI006, SLH006, SLK004"
Pittu,Lunu Miris,Pittu with Lunu Miris,"Rice flour,  Coconut,  Water, Onion,  Chili,  Salt","25.0, 25.0, 10.0, 20.0, 50.0, 30.0","SLA010, SLI005, , SLK016, SLE027, SLK011"
Lamprais,Chicken Curry,Lamprais with Chicken Curry,"Rice,  Meat,  Spices, Chicken,  Coconut milk","100.0, 30.0, 15.0, 40.0, 10.0","SLA008, SLH009, SLK004, SLH006, SLI006"
Lamprais,Chicken Curry,Lamprais with Chicken Curry,"Rice,  Meat,  Spices, Chicken,  Coconut milk","100.0, 30.0, 15.0, 40.0, 10.0","SLA008, SLH009, SLK004, SLH006, SLI006"
String Hoppers,Chicken Curry,String Hoppers with Chicken Curry,"Rice flour,  Water,  Salt, Chicken,  Coconut milk,  Spices","25.0, 10.0, 0.5, 40.0, 10.0, 5.0","SLA010, SLH006, SLI006, SLK004"
String Hoppers,Pol Sambol,String Hoppers with Pol Sambol,"Rice flour,  Water,  Salt, Coconut,  Chili","25.0, 10.0, 0.5, 20.0, 5.0","SLA010, SLI005, SLK004, SLK016, SLE027, SLK011"
String Hoppers,Parippu,String Hoppers with Parippu,"Rice flour,  Water,  Salt, Dhal,  Coconut milk,  Spices, Termeric powder","25.0, 10.0, 0.5, 10.0, 10.0, 5.0, 0.25","SLA010, SLC001, SLI006, SLK004, SLK019"
String Hoppers,Jackfruit Curry,String Hoppers with Jackfruit Curry,"Rice flour,  Water,  Salt, Jackfruit,  Coconut milk,  Spices, curry leaves","25.0, 10.0, 0.5, 15.0, 10.0, 5.0, 0.25","SLA010, SLE024, SLI006, SLK004, SLK009"
String Hoppers,Chicken Curry,String Hoppers with Chicken Curry,"Rice flour,  Water,  Salt, Chicken,  Coconut milk,  Spices","25.0, 10.0, 0.5, 40.0, 10.0, 5.0","SLA010, SLH006, SLI006, SLK004"
