,date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice,market_priority
17763,2024-05-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Potatoes (imported),KG,actual,Retail,LKR,204.13,0.6762,1
17764,2024-05-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Potatoes (local),KG,actual,Retail,LKR,374.63,1.241,1
17765,2024-05-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (medium grain),KG,actual,Retail,LKR,224.62,0.7441,1
17766,2024-05-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (white),KG,actual,Retail,LKR,252.21,0.8355,1
17767,2024-05-15,Western,Colombo,Colombo City,6.931944,79.847778,"meat, fish and eggs",Eggs,Unit,actual,Retail,LKR,48.19,0.1596,1
17768,2024-05-15,Western,Colombo,Colombo City,6.931944,79.847778,"meat, fish and eggs","Fish (dry, katta)",KG,actual,Retail,LKR,2085.01,6.907,1
17769,2024-05-15,Western,Colombo,Colombo City,6.931944,79.847778,"meat, fish and eggs","Fish (dry, sprats)",KG,actual,Retail,LKR,1105.28,3.6615,1
17770,2024-05-15,Western,Colombo,Colombo City,6.931944,79.847778,"meat, fish and eggs",Fish (goldstripe sardinella),KG,actual,Retail,LKR,1037.6,3.4372,1
17771,2024-05-15,Western,Colombo,Colombo City,6.931944,79.847778,"meat, fish and eggs",Fish (jack),KG,actual,Retail,LKR,2114.33,7.0041,1
17772,2024-05-15,Western,Colombo,Colombo City,6.931944,79.847778,"meat, fish and eggs",Fish (sail fish),KG,actual,Retail,LKR,2736.29,9.0645,1
17773,2024-05-15,Western,Colombo,Colombo City,6.931944,79.847778,"meat, fish and eggs",Fish (skipjack tuna),KG,actual,Retail,LKR,1278.93,4.2367,1
17774,2024-05-15,Western,Colombo,Colombo City,6.931944,79.847778,"meat, fish and eggs",Fish (trenched sardinella),KG,actual,Retail,LKR,966.89,3.203,1
17775,2024-05-15,Western,Colombo,Colombo City,6.931944,79.847778,"meat, fish and eggs",Fish (yellowfin tuna),KG,actual,Retail,LKR,2148.01,7.1157,1
17776,2024-05-15,Western,Colombo,Colombo City,6.931944,79.847778,"meat, fish and eggs","Meat (chicken, broiler)",KG,actual,Retail,LKR,1190.76,3.9446,1
17777,2024-05-15,Western,Colombo,Colombo City,6.931944,79.847778,miscellaneous food,"Chili (red, dry raw)",KG,actual,Retail,LKR,1047.46,3.4699,1
17778,2024-05-15,Western,Colombo,Colombo City,6.931944,79.847778,pulses and nuts,Beans,KG,actual,Retail,LKR,518.34,1.7171,1
17779,2024-05-15,Western,Colombo,Colombo City,6.931944,79.847778,pulses and nuts,Beans (mung),KG,actual,Retail,LKR,1403.78,4.6503,1
17780,2024-05-15,Western,Colombo,Colombo City,6.931944,79.847778,pulses and nuts,"Cowpeas (whole, average)",KG,actual,Retail,LKR,1037.15,3.4358,1
17781,2024-05-15,Western,Colombo,Colombo City,6.931944,79.847778,pulses and nuts,Lentils,KG,actual,Retail,LKR,328.72,1.0889,1
17782,2024-05-15,Western,Colombo,Colombo City,6.931944,79.847778,vegetables and fruits,Bananas,KG,actual,Retail,LKR,197.61,0.6546,1
17783,2024-05-15,Western,Colombo,Colombo City,6.931944,79.847778,vegetables and fruits,Cabbage,KG,actual,Retail,LKR,233.46,0.7734,1
17784,2024-05-15,Western,Colombo,Colombo City,6.931944,79.847778,vegetables and fruits,Carrots,KG,actual,Retail,LKR,255.28,0.8457,1
