title,weight,price
Marina Cooking Oil 500ml,500ml,Rs. 685
Pure Dale Kirithe 40g,40g,Rs. 88
Munchee Baby Rusks 60g,60g,Rs. 160
Munchee Crunchy Carols 300g,300g,Rs. 400
Fadna Shape Up Tea 15 Bags,,Rs. 840
Fadna Tummy Tea 15 Bags,,Rs. 840
Eden Foods Organic Sesame Oil,,"Rs. 1,900"
Garlic,1Kg,Rs. 696
Oil Paper,,Rs. 30
Kist Apple Nectar 200ml,200ml,Rs. 80
Kist Wood Apple Nectar 200ml,200ml,Rs. 120
Kist Aloe Vera Drink 500ml,500ml,Rs. 250
Happy Cow Cheese Wedges 120g,120g,Rs. 736
Kotmale Cheese Processed Slices 1Kg,1Kg,"Rs. 4,200"
MD Vanilla Pudding 150g,150g,Rs. 150
MD Mustard Cream 360g,360g,Rs. 730
MD Mango Chutney 460g,460g,Rs. 400
Magic Ice Cream Fruit & Nut 1L,1L,Rs. 650
Magic Ice cream Vanilla & Chocolate 1L,1L,Rs. 480
Magic Ice cream Chocolate 1L,1L,Rs. 470
Magic Ice cream Vanilla 1L,1L,Rs. 480
Magic Ice cream Chocolate 2L,2L,Rs. 980
Magic Ice cream Vanilla & Chocolate 2L,2L,Rs. 850
Magic Ice Cream Fruit & Nut 2L,2L,"Rs. 1,150"
Magic Ice cream Vanilla 2L,2L,Rs. 800
Ruhunu Goraka Pieces 100g,100g,Rs. 120
4rever Aloe Lavender Body Wash 200ml,200ml,Rs. 450
4rever Hibiscus Body Wash 200ml,200ml,Rs. 450
4rever Silicone 50ml,50ml,Rs. 300
MDK Vegetable Chinese Rolls (25 Rolls) 1250g,1250g,"Rs. 1,250"
MDK Vegetable Patties 15Pcs 500g,500g,Rs. 605
MDK Parata Rotti,5Pcs 500g,Rs. 385
MDK Idli 500g,500g,Rs. 345
Rich Life Set Yoghurt 950ml,950ml,Rs. 525
4rever Kohomba Kaha Whitening Face Wash 100ml,100ml,Rs. 360
Baby Cheramy Cologne 100ml,100ml,Rs. 475
Sustagen Milk Powder Tin 400g,400g,"Rs. 3,900"
Sunsilk Shampoo Green Tea and lemon 80ml,80ml,Rs. 180
MDK Koththu Rotti 1kg,1kg,Rs. 500
Rich Life Set Yoghurt 500ml,500ml,Rs. 300
Kist Orange Juice 1L ,1L,Rs. 450
Kist Apple Juice 1L,Green,Rs. 750
Sunsilk Shampoo Co Creations Long & Healthy Growth 180ml,180ml,Rs. 325
Maliban Non Fat Milk Powder 400g,400g,Rs. 1
Lifebuoy Handwash Green Tea 200ml,200ml,Rs. 290
Sunlight Care Pearls 600 ml,600 ml,Rs. 260
Munchee Choco Cream Biscuit 400g,400g,Rs. 390
MD Mango Jam 225g,225g,Rs. 290
MD Strawberry Flavoured Jelly 100g,100g,Rs. 110
Motha Icing Sugar 1Kg,1Kg,Rs. 540
Motha Mix Fruit Flavoured Jelly 50g,50g,Rs. 60
Motha Apple Flavoured Jelly 200g,200g,Rs. 210
Motha Woodapple Flavoured Jelly 100g,100g,Rs. 125
Motha Rambutan Flavoured Jelly 100g,100g,Rs. 230
Red Raw Rice 5Kg,5Kg,Rs. 975
Kotmale Curd 900ml,900ml,Rs. 90
Kotmale Curd 450ml,450ml,Rs. 380
Sunlight Clean & Lemon Washing Powder 500g,500g,Rs. 215
Sunsilk Shampoo Damage Restore King Coconut oil 80ml,80ml,Rs. 245
Sunsilk Shampoo Stunning Black Shine 80ml,80ml,Rs. 190
Sunsilk Shampoo Coconut Water Aloe Vera 80ml,80ml,Rs. 190
Ruhunu Ata Piti 400g,400g,Rs. 125
Elephant House Full Cream Milk 1Ltr,1L,Rs. 280
Wijaya Tea 500g,500g,"Rs. 1,130"
MD Mango Jam 100g,100g,Rs. 55
MD  Strawberry Jam 100g,100g,Rs. 160
Magic Ice cream Vanilla & Chocolate Cup,,Rs. 60
Munchee Gem Biscuits 40g,40g,Rs. 25
Munchee Snak Crackers Biscuit 30g,30g,Rs. 65
Sunsilk Conditioner Stuning Black Shine 180ml,180ml,Rs. 250
Sunlight Detergent Powder Lemon & Rose 200g,200g,Rs. 55
Ruhunu Cumin Seed 100g,100g,Rs. 290
Pure Dale Full Cream Milk Powder 1Kg,1Kg,"Rs. 2,850"
Ruhunu Sugar Candy 100g,100g,Rs. 60
Ruhunu Mustard Powder 50g,50g,Rs. 65
Kotmale Set Yogurt 80g,80g,Rs. 70
Kist Chilli Sauce 375g,375g,Rs. 325
Lucky Yogurt 500ml,500ml,Rs. 225
Lucky Yogurt Family Pack 1L,1L,Rs. 550
Ruhunu Goraka Pieces 250g,250g,Rs. 235
Ruhunu Pepper Powder 100g,100g,Rs. 210
4rver Tea Tree Oil Foaming Face Wash 100ml,100ml,Rs. 360
4rever Kohomba Kaha Moisturizer Cream 60g,60g,Rs. 370
Motha Strawberry Flavoured Jelly 500g,500g,Rs. 490
Zesta Green Tea 25s 45g,45g,Rs. 180
Kotmale Chocolate Milk Packet 170ml,170ml,Rs. 100
Kotmale Vanilla Milk Packet 170ml,170ml,Rs. 100
Kotmale fresh milk 180ml,180ml,Rs. 130
Kotmale Full Cream Fresh Milk Packet 1L,1L,Rs. 550
Munchee Stix Rolled wafer Vanilla 55g,55g,Rs. 140
Baby Cheramy Almond Baby Cream 400ml,400ml,Rs. 950
Baby Cheramy Regular Almond Cream 200ml,200ml,Rs. 560
Baby Cheramy Cream Floral 200ml,200ml,Rs. 350
Magic Cubes 60ml,60ml,Rs. 80
Elephant House Ice Cream Fruit & Nut 80ml,80ml,Rs. 100
Elephant House Ice Cream Chocolate 500ml,500ml,Rs. 310
MD Tomato Sauce 15g,15g,Rs. 11
MD Mixed Fruit Jelly 500g,500g,Rs. 420
MD Stoberry Jelly 500g,500g,Rs. 420
Mabroc Premium Green Tea Bags 25s 45g,45g,Rs. 175
Mabroc Premium Black Tea Bags 25s 45g,45g,Rs. 175
Kist Jam 150g,150g,Rs. 50
Kist Mango & Passion Nectar 200ml,200ml,Rs. 60
Lucky Yogurt 80ml,80ml,Rs. 70
Highland Yoghurt 90g,90g,Rs. 70
Wijaya Tea 100g,100g,Rs. 220
Wijaya Atta Piti 1Kg,1Kg,Rs. 240
Nan Grow Milk Powder - 4 300g,300g,"Rs. 2,500"
Sunlight Detergent 2In1 Clean & Jasmine 500g,500g,Rs. 280
4ever Hibiscus Face Wash 50ml,50ml,Rs. 175
4ever Lunuwila Face Wash 50ml,50ml,Rs. 175
4ever Aloe Lavender Face Wash 50ml,50ml,Rs. 195
Baby Cheramy Herbal Cream 100ml,100ml,Rs. 220
Sunlight Detergent 2In1 Clean & Jasmine 1Kg,1Kg,Rs. 430
Red Rice 10Kg,10Kg,"Rs. 1,950"
White Rice 10Kg,10Kg,"Rs. 2,000"
Maliban Biscuit Double Twist Cookies 85g,85g,Rs. 220
Nestea Iced Tea Lemon Flavor 1Kg,1Kg,"Rs. 2,350"
Motha Gelatine 100g,100g,Rs. 420
Motha Icing Sugar 500g,500g,Rs. 320
Motha Cocoa Powder 100g,100g,Rs. 750
Ruhunu Ata Piti 1Kg,1Kg,Rs. 270
Ruhunu Gram Flour 200g,200g,Rs. 140
Wijaya black tea 100g,100g,Rs. 100
Maliban Gift Selection Biscuit Assortment 400g,400g,Rs. 800
Sunlight Care Pearls 1L,1L,Rs. 950
Sunlight Detergent Powder Lemon & Rose 60g,60g,Rs. 10
Wijaya Coffee 50g,50g,Rs. 150
Baby Cheramy Cologne Sparkle Stardust Floral 50ml,50ml,Rs. 148
MD Mango Nectar 1L,1L,Rs. 260
MD Aloe Vera Drink 500ml,500ml,Rs. 160
MD Mango Nectar 200ml,200ml,Rs. 60
MD Mango Nectar 500ml,500ml,Rs. 140
MD Pineapple Jam 300g,300g,Rs. 350
MD Chilli Sauce 200g,200g,Rs. 195
Motha Blackcurrant Flavoured Jelly 100g,100g,Rs. 125
Motha Corn Flour 100g,100g,Rs. 90
Munchee Savoury Nut Biscuit 30g,30g,Rs. 65
Munchee Onion Biscuit 30g,30g,Rs. 65
Kandos Crispy Malt Milk Chocolate 40g,40g,Rs. 50
Kist Apple Nectar Juice 1000ml,1000ml,Rs. 260
Kist Aloe Vera Drink 200ml,200ml,Rs. 120
Ruhunu Papadam Loos,,Rs. 860
Munchee Salsa Biscuit 30g,30g,Rs. 50
Munchee Cheese Buttons Biscuit 20g,20g,Rs. 50
Magic Ice cream Ribbon Chocolate 1L,1L,Rs. 750
Elephant House Ice Cream Wonder Bar Chocolate 70ml,70ml,Rs. 120
Elephant House Ice Cream Wonder Bar Chocolate & Vanila 70ml,70ml,Rs. 120
Cow & Gate Milk Powder - 3 (1-3 Year) 350g,350g,"Rs. 3,500"
Cow & Gate Milk Powder - 4 (3-6 Year) 350g,350g,"Rs. 3,500"
White Sugar 1kg,1kg,Rs. 300
Nestle Milkmaid 390g,390g,Rs. 500
Elephant House Ice Cream Chocolate 1L,1L,Rs. 575
Elephant House Ice Cream Double Delight 1L,1L,Rs. 590
Reebonn Skin Whitening and Anti-Aging Soap 100g,100g,Rs. 190
BBC Coconut Oil,1 L,"Rs. 1,375"
Munchee Kome Biscuit 90g,90g,Rs. 220
Munchee Kome Biscuit 45g,45g,Rs. 60
Chello Set Yoghurt 80g,80g,Rs. 70
Ambewela Yoghurt 80ml,80ml,Rs. 70
Magic Ice cream Vanilla Cone,,Rs. 160
Magic Ice cream Chocolate Cone,,Rs. 120
Kora Rice 1Kg,1Kg,Rs. 240
Chandanalepa Soap Herbal 100g,100g,Rs. 210
Maliban Milky Sorties Biscuits 325g,325g,Rs. 300
Nestomalt Malt Drink Pack 400g,400g,Rs. 780
Chandanalepa Herbal Cream 20g,20g,Rs. 260
Chandanalepa Herbal Cream 40g,40g,Rs. 360
MD Mustard Cream 170g,170g,Rs. 370
MD Lime Pickle 180g,180g,Rs. 200
MD Mango Chutney 300g,300g,Rs. 280
MD Tomato Sauce 885g,885g,Rs. 550
MD Chilli Sauce 885g,885g,Rs. 600
MD Chilli Sauce 400g,400g,Rs. 570
MD Tomato Sauce 400 g,400 g,Rs. 350
MD Tomato Sauce 200 g,200 g,Rs. 180
MD Tomato Ketchup 200g,200g,Rs. 195
MD Banana Custard Powder 100g,100g,Rs. 70
MD Vanila Custard Powder 100g,100g,Rs. 75
MD Banana Custard Powder 100g,100g,Rs. 75
MD Corn Flour 100g,100g,Rs. 70
MD Cocoa Powder 100g,100g,Rs. 250
MD Cocoa Powder 50g,50g,Rs. 130
MD Baking Powder 50g,50g,Rs. 80
MD Gelatine 30g,30g,Rs. 120
MD Icing Sugar 250g,250g,Rs. 125
MD Strawberry Jelly 200g,200g,Rs. 160
MD Mixed Fruit Jelly 200g,200g,Rs. 160
MD Mixed Fruit Jelly 100g,100g,Rs. 110
MD Orange Delight 2L,2L,"Rs. 1,640"
MD Mixed Fruit Delight 2L,2L,"Rs. 1,640"
MD Mixed Fruit Delight 850ml,850ml,Rs. 740
MD Orange Delight 850ml,850ml,Rs. 770
MD Passion Fruit Cordial,400ml,Rs. 500
MD Orange Cordial 750ml,750ml,Rs. 850
MD Mango Cordial 750ml,750ml,Rs. 850
MD Mixed Fruit Cordial 750ml,750ml,Rs. 850
MD Mixed Fruit Cordial 400ml,400ml,Rs. 300
MD Orange Cordial 400ml,400ml,Rs. 320
MD Mango Cordial 400ml,400ml,Rs. 300
MD Passion Fruit Cordial 400ml,400ml,Rs. 500
MD Strawberry Jam 500g,500g,Rs. 670
MD Mixed Fruit Jam 500g,500g,Rs. 670
MD Pineapple Jam 500g,500g,Rs. 670
MD Mixed Fruit Jam 300g,300g,Rs. 380
MD Mango Jam 300g,300g,Rs. 350
MD Strawberry Jam 300g,300g,Rs. 350
MD Woodapple Jam 300g,300g,Rs. 350
MD Pineapple Jam 225g,225g,Rs. 290
MD Woodapple Jam 225g,225g,Rs. 290
MD Strawberry Jam 150g,150g,Rs. 240
MD Mixed Fruit Jam 225g,225g,Rs. 290
MD Pineapple Jam 150g,150g,Rs. 240
MD Mixed Fruit Jam 150g,150g,Rs. 240
MD Woodapple Jam 150g,150g,Rs. 240
MD Mango Jam 150g,150g,Rs. 240
Munchee Gift Assortment Biscuit 400g,400g,Rs. 400
Motha Quick Set Apple Flavoured Jelly 100g,100g,Rs. 100
Motha Quick Set Strawberry Flavoured Jelly 100g,100g,Rs. 100
Motha Quick Set Mango Flavoured Jelly 100g,100g,Rs. 95
Motha Apple Flavoured Jelly 50g,50g,Rs. 50
Motha Strawberry Flavoured Jelly 50g,50g,Rs. 50
Motha Mix Fruit Flavoured Jelly 100g,100g,Rs. 110
Motha Mango Flavoured Jelly 100g,100g,Rs. 100
Motha Green Gage Flavoured Jelly 100g,100g,Rs. 100
Motha Blueberry Flavoured Jelly 100g,100g,Rs. 110
Motha Strawberry Flavoured Jelly 100g,100g,Rs. 110
Motha Apple Flavoured Jelly 100g,100g,Rs. 110
Motha Lemon Flavoured Jelly 100g,100g,Rs. 110
Motha Orange Flavoured Jelly 100g,100g,Rs. 110
Motha Gelatine 30g,30g,Rs. 148
Motha Vanilla Custard Powder 100g,100g,Rs. 85
Motha Cocoa Powder 50g,50g,Rs. 155
Motha Corn Flour 200g,200g,Rs. 165
Motha Watalappan Pudding Mix 110g,110g,Rs. 110
Motha Watalappan Pudding Mix 110g,110g,Rs. 130
Motha Caramel Pudding Mix 100g,100g,Rs. 110
Motha Icing Sugar 250g,250g,Rs. 240
Emami Gold Turmeric Soap 100g,100g,Rs. 100
Sunlight Detergent 2In1 Clean & Jasmine 1Kg,1Kg,Rs. 530
Elephant House Ice Cream Pani Kaju 80ml,80ml,Rs. 100
Elephant House Ice Cream Fruit & Nut 4L,4L,"Rs. 2,950"
Elephant House Ice Cream Vanilla 2L,2L,Rs. 960
Elephant House Ice Cream Vanilla 1L,1L,Rs. 520
Elephant House Ice Cream Fruit & Nut 1L,1L,Rs. 725
Kotmale Cheese Wedges 120g,120g,Rs. 480
Maliban Classique Biscuits Assortment 500g,500g,Rs. 950
Maliban Krisco Biscuits 215g,215g,Rs. 500
Kist Passion Nector 1000ml,1000ml,Rs. 270
Kist Orange Nectar 1000ml,1000ml,Rs. 260
Kist Mango & Passion Nector 1000ml,1000ml,Rs. 260
Kist Mango & Passion Nector 200ml,200ml,Rs. 100
Kist Mango Nector 200ml,200ml,Rs. 120
Kist Mango & Passion Nector 500ml,500ml,Rs. 150
Kist Orange Nectar 500ml,500ml,Rs. 150
Kist Mango Nector 500ml,500ml,Rs. 250
Kist Ambrella Chutney 450g,450g,Rs. 340
Kist Mango Chutney 250g,250g,Rs. 190
Kist Mango Chutney 460g,460g,Rs. 340
Kist Tomato Sauce 15g,,Rs. 20
Kist Chilli Sauce 375g,375g,Rs. 325
Kist Chilli Sauce 190g,190g,Rs. 170
Kist Tomato Sauce 400g,400g,Rs. 320
Kist Tomato Sauce 200g,200g,Rs. 170
Kist Passion Fruit Cordial 750ml,750ml,Rs. 900
Kist Mixed Fruit Cordial 750ml,750ml,Rs. 900
Kist Passion Fruit Cordial 360ml,360ml,Rs. 270
Kist Mixed Fruit Cordial 360ml,360ml,Rs. 270
Kist Mango Jam 510g,510g,Rs. 300
Kist Mixed Fruit Jam 510g,510g,Rs. 350
Kist WoodApple Jam 510g,510g,Rs. 300
Kist Real Strawberry Jam 510g,510g,Rs. 335
Kist Mixed Fruit Jam 300g,300g,Rs. 240
Kist Real Strawberry Jam 300g,300g,Rs. 220
Kist Pineapple Jam 300g,300g,Rs. 240
Kist Strawberry Flavoured Jam 200g,200g,Rs. 170
Kist Mixed Fruit Jam 200g,200g,Rs. 170
Wijaya Turmeric Powder 50g,50g,Rs. 165
Basmati Rice 1Kg,1Kg,Rs. 693
Ruhunu Rasam 100g,100g,Rs. 90
Ruhunu Turmeric Powder 50g,50g,Rs. 300
Sunlight Care Naturals Lavender 200g,200g,Rs. 50
Sunlight Care Naturals Lavender 1Kg,1Kg,Rs. 550
Rebecca Lee Herbal Baby Soap 100g,100g,Rs. 140
Pelwatte Set Yoghurt 80g,80g,Rs. 70
Johnson & Johnson Baby Milk Soap 75g,75g,Rs. 100
Johnson's Baby Blossom Soap 75g,75g,Rs. 120
Johnson's Baby Bath Milk+Rice 100ml,100ml,Rs. 275
Chello Strawberry Drinking Yoghurt 180ml,180ml,Rs. 150
Anchor Newdale Set Yoghurt 80g,80g,Rs. 60
Ratthi Set Yoghurt 80g,80g,Rs. 60
Harischandra Senola Soap 70g,70g,Rs. 130
Harischandra Namal Soap 70g,70g,Rs. 130
Harischandra Aththora Soap 70g,70g,Rs. 130
Harischandra White Rice Flour 400g,400g,Rs. 280
Nan Grow Milk Powder - 1 350g,350g,"Rs. 2,500"
Sunsilk Shampoo Thick & Long 80ml,80ml,Rs. 190
Sunsilk Conditioner Soft Smooth 80ml,80ml,Rs. 190
Cargills Fruit & Nut Ice cream Stick 80ml,80ml,Rs. 100
Maliban Smart Cream Cracker 230g,230g,Rs. 240
Nan Grow Milk Powder - 2 350g,350g,"Rs. 2,500"
Cargills Magic Choc Chocolate Ice cream Stick 75ml,75ml,Rs. 120
