Food code,Food Name,Energy (Kcal),Protein,Total fat,Carbohydrates,Total Dietary Fibre,Vitamin A,Vitamin D,Vitamin K,Vitamin E,Calcium,Phosphorus,Magnesium,Sodium,Potassium
SLAOOI,Barley (Hordeum vulgare),313,11.4,1.18,60.9,15.48,,,1.98,0.01,26.52,224,57.44,6.71,261
SLA002,"Maize, dry, local (Zea mays)",338,8.47,4.58,64.43,12.35,42.41,32.6,2.68,0.3,9.2,268,139,4.61,288
SLA003,"Maize, tender, local (Zea mays)",119,3.01,1.23,23.54,3.46,7.91,46.96,2.04,0.09,5.1,182,41.11,2.31,183
SLA004,"Maize, tender, sweet (Zea mays)",94,3.86,1.43,15.92,3.93,11.52,15.48,2.26,0.09,6.52,111,34.71,2.19,298
SLA005,"Millet, finger (Eleusine coracana)",322,7.11,1.77,67.45,11.16,0.22,41.82,3.25,0.15,419,246,148,4.72,418
SLA006,"Rice, flakes (Oryza sativa)",350,7.29,1.17,76.08,3.93,,,0.95,0.06,11.1,214,98.29,2.48,148
SLA007,"Rice, kaluhinati (Oryza sativa)",348,9.88,1.9,72.28,5.21,,,2.75,0.07,10.85,243,35.55,7.63,149
SLA008,"Rice, keeri samba (Oryza sativa)",368,8.47,1.84,79.41,1.17,,,2.56,0.08,6.57,163,22.18,2.09,155
SLA009,"Rice, kekulu, red (Oryza sativa)",366,8.64,2.12,77.59,3.18,,,2.67,0.09,4.73,195,31.7,1.61,169
SLAOIO,"Rice, kekulu, white (Oryza sativa)",361,9.88,1.52,76.67,2.36,,,2.85,0.08,6.94,150,26.29,1.55,87.92
SLAO11,"Rice, nadu, white (Oryza sativa)",366,7.76,1.48,80.11,2.45,,,2.91,0.08,4.57,119,20.1,3,147
SLA012,"Rice, samba (Oryza sativa)",369,6.86,2.45,79.53,3.24,,,2.23,0.08,8.71,192,37.26,2.16,154
SLA013,"Rice, samba kekulu (Oryza sativa)",355,8.81,1.53,76.12,4.42,,,2.52,0.09,9.28,147,30.48,1.53,149
SLA014,"Vermicelli, rice (Triticum aestivum)",365,7.29,1.13,80.97,2.68,,,1.64,0.01,1.74,95.94,23.67,17.83,61.98
SLA015,"Vermicelli, wheat (Triticum aestivum)",332,9.31,0.42,70.69,9.81,0.33,4.19,1.35,0.03,21.89,97,38.71,3.75,160
SLA016,Water lily seeds (Nymphaea cereals),349,9.84,2.22,71.89,6.96,,,2.84,0.07,27.99,180,55.12,0.68,162
SLA017,"Wheat, flour, atta (Triticum aestivum)",319,10.25,1.4,64.19,11.54,0.37,10.31,1.68,0.38,22.09,116,27.32,1.13,140
SLA018,"Wheat, flour, refined (Triticum aestivum)",355,10.42,0.73,75.25,2.99,0.49,5.67,0.95,0.06,26.78,106,41.8,2,290
SLA019,"Wheat, semolina (Triticum aestivum)",332,10.85,0.72,68.83,9.57,0.24,7.09,1.4,0.2,21.89,97,38.71,3.75,160
SLKOOI,Cardamom (Elettaria cardamomum),260,8.25,2.75,48.59,23.1,3.95,40.25,7.01,0.78,329,135,259,14.78,1251
SLK002,"Chillies, dark green, short (Capsicum annum)",39,2.28,0.76,5.25,4.24,38.16,4.29,23.28,0.24,20.25,59.83,36.91,2.94,379
SLK003,"Chillies, yellowish green, long (Capsicum annum)",44,2.21,0.75,6.26,5.09,32.16,3.1,23.85,0.26,15.36,49.55,29.99,2.59,317
SLK004,"Chillies, red, dry (Capsicum annum)",233,12.68,6.41,28.73,31.17,437,26.67,279,1.18,107,345,231,22.45,2184
SLK005,Cloves (Syzygium aromaticum),187,6.04,8.45,18.73,34.88,13,41.95,192,0.72,466,113,378,193,1402
SLK006,Coriander seeds (Coriandrum sativum),257,10.38,17.21,10.43,46.96,23.5,1.3,32.7,0.96,724,295,366,34.01,1413
SLK007,"Coriander, leaves (Coriandrum sativum)",31,3.27,0.71,2.25,4.54,586,3.78,276,0.41,142,43.3,49.97,46.5,373
SLK008,Cumin seeds (Cuminum cyminum),298,13.43,16.66,21.46,30.99,12.52,12.14,148,1.46,905,381,432,129,1993
SLK009,Curry leaves (Murraya koenigii),58,7.19,1.04,3.01,18.27,1389,125,268,1.9,680,64.44,184,19.66,602
SLKOIO,Fenugreek seeds (Trigonella foenum graecum),235,25.05,5.73,11.05,46.93,23.83,2,1.67,0.02,146,632,211,40.12,881
SLKOII,Garlic (Allium sativum),122,6.76,0.14,21.75,5.53,,1.76,2.02,0.05,14.65,102,24.07,10.62,377
SLK012,"Ginger fresh, large (Zingiber officinale)",56,2.23,0.81,9.43,4.6,15.02,4.04,28.56,0.35,20.69,46.33,59.93,11.73,401
SLK013,"Ginger fresh, small (Curcuma amada)",41,1.22,0.67,7.08,5,10.59,3.22,26.92,,11.53,73.48,29.62,5.81,381
SLK014,Mint leaves (Mentha spicata),37,4.72,0.7,2.32,6.09,672,3.28,184,0.46,222,91.58,153,12.41,535
SLK015,Nutmeg (Myristica fragrans),466,6.08,36.55,28.54,11.66,2.63,47.08,61.15,1.25,146,247,185,14.32,474
SLK016,"Onion, big (Allium cepa)",48,1.67,0.24,9.54,2.66,0.16,0.53,5.35,0.05,14.82,36.8,16.94,4.94,214
SLK017,"Onion, small, shallots (Allium cepa)",55,2.13,0.15,11.05,1.2,0.18,0.16,6.79,0.05,20.37,54.19,19.32,4.13,204
