Complete Meal,Ingredients,Quantities
Kottu Roti with Chicken Curry,"Roti, carrot, leeks,  Chicken, Coconut Oil, Chilli Powder,  Coconut milk,  Spices, curry leaves","30, 20, 27.5, 70.0, 5, 2.5, 20.0, 5.0, 3.0"
Kottu Roti with Devilled Chicken,"Roti, carrot, leeks,  Chicken, Coconut Oil, Chilli Powder,  Curry leaves, Onion","30, 20, 27.5, 70.0, 5, 7.5, 10.0, 20.0"
Kottu Roti with Devilled Fish,"Roti, carrot, leeks,  Chicken, Coconut Oil, Chilli Powder, Fish,  Curry leaves, Onion","30, 20, 27.5, 20, 5, 7.5, 50.0, 5.0, 20.0"
Kottu Roti with Seer Fish Curry,"Roti, carrot, leeks,  Chicken, Coconut Oil, Chilli Powder, Seer fish,  Coconut milk","30, 20, 27.5, 20, 5, 12.5, 50.0, 25.0"
Kiribath with Seeni Sambol,"Rice,  Coconut milk, Onion,  Sugar,  chillii","85, 15, 50.0, 5.0, 5.0"
Kiribath with Chicken Curry,"Rice,  Coconut milk, Chicken,  Coconut milk,  Spices, curry leaves","85, 15, 50.0, 20.0, 5.0, 3.0"
Kiribath with Fish Ambul Thiyal,"Rice,  Coconut milk, Fish,  Goraka,  Spices","85, 15, 80.0, 10.0, 10.0"
Kiribath with Dhal Curry,"Rice,  Coconut milk, Dhal,  Spices, Termeric powder","85, 25.0, 80.0, 5.0, 5.0"
Kiribath with Lunu Miris,"Rice,  Coconut milk, Onion,  Chili,  Salt, Lime","85, 15, 20.0, 50.0, 30.0"
Pittu with Lunu Miris,"Rice flour,  Coconut, Onion,  Chili,  Salt, Lime","25, 10, 20.0, 50.0, 30.0"
Lamprais with Chicken Curry,"Rice,  Meat,  Spices,  Coconut milk, curry leaves","100, 80.0, 15.0, 20.0, 3.0"
String Hoppers with Spicy Crab,"Rice flour, Crab,  Oil,  chillies","85, 70.0, 20.0, 10.0"
String Hoppers with Parippu,"Rice flour, Dhal,  Coconut milk, Termeric powder","85, 10.0, 10.0, 5.0"
String Hoppers with Thalapath Fish Curry,"Rice flour, Thalapath fish,  Coconut milk,  Spices","85, 50.0, 25.0, 10.0"
String Hoppers with Prawn Curry,"Rice flour, Prawn,  Coconut milk,  Chillies","85, 50.0, 25.0, 10.0"
String Hoppers with Cuttlefish Curry,"Rice flour, Cuttlefish,  Coconut milk,  Spices","85, 50.0, 25.0, 10.0"
String Hoppers with Kiri Hodi,"Rice flour, Coconut milk","85, 60.0"
String Hoppers with Potato Curry,"Rice flour, Potato,  Coconut milk,  Spices, curry leaves, Turmeric Powder","85, 20.0, 30.0, 10.0, 5.0, 2.0"
String Hoppers with Egg Curry,"Rice flour, Egg,  Coconut milk,  Chillies","85, 50.0, 25.0, 10.0"
String Hoppers with Kochchi Sambol,"Rice flour, Green chili,  Coconut","85, 10.0, 30.0"
String Hoppers with Pol Sambol,"Rice flour, Coconut,  Chili,  Onion, Lime, Garlic","85, 50.0, 5.0, 10.0, 3.0, 3.0"
String Hoppers with Jackfruit Curry,"Rice flour, Jackfruit,  Coconut milk, curry leaves","85, 15.0, 10.0, 5.0"
