commodity,market,unit,priceflag,pricetype,currency,lower_price,upper_price,price,scraped_content
Abalone,Colombo City,KG,actual,Retail,LKR,7534.62,10548.46,9041.54,"the retail price range in sri lanka rupee for abalone is between lkr 7,534.62 and lkr 10,548.46 per kilogram or between lkr 3,417.06 and lkr 4,783.88 per pound(lb) in colombo and jaffna."
Ackee,Colombo City,KG,actual,Retail,LKR,1043.43,1639.68,1341.56,"the retail price range in sri lanka rupee for ackee is between lkr 1,043.43 and lkr 1,639.68 per kilogram or between lkr 473.21 and lkr 743.62 per pound(lb) in colombo and jaffna."
Acorn squash,Colombo City,KG,actual,Retail,LKR,264.96,471.04,368.0,the retail price range in sri lanka rupee for acorn squash is between lkr 264.96 and lkr 471.04 per kilogram or between lkr 120.16 and lkr 213.62 per pound(lb) in colombo and jaffna.
Agar,Colombo City,KG,actual,Retail,LKR,14.91,20.88,17.89,the retail price range in sri lanka rupee for agar is between lkr 14.91 and lkr 20.88 per kilogram or between lkr 6.76 and lkr 9.47 per pound(lb) in colombo and jaffna.
Agave syrup,Colombo City,KG,actual,Retail,LKR,3023.38,7558.46,5290.92,"the retail price range in sri lanka rupee for agave syrup is between lkr 3,023.38 and lkr 7,558.46 per kilogram or between lkr 1,371.15 and lkr 3,427.87 per pound(lb) in colombo and jaffna."
Alfalfa seeds,Colombo City,KG,actual,Retail,LKR,289.9,1168.39,729.14,"the retail price range in sri lanka rupee for alfalfa seeds is between lkr 289.90 and lkr 1,168.39 per kilogram or between lkr 131.48 and lkr 529.88 per pound(lb) in colombo and jaffna."
Almond butter,Colombo City,KG,actual,Retail,LKR,4401.06,5869.06,5135.06,"the retail price range in sri lanka rupee for almond butter is between lkr 4,401.06 and lkr 5,869.06 per kilogram or between lkr 1,995.95 and lkr 2,661.71 per pound(lb) in colombo and jaffna."
Almonds,Colombo City,KG,actual,Retail,LKR,1180.31,1770.46,1475.38,"the retail price range in sri lanka rupee for almonds is between lkr 1,180.31 and lkr 1,770.46 per kilogram or between lkr 535.29 and lkr 802.93 per pound(lb) in colombo and jaffna."
Amaranth,Colombo City,KG,actual,Retail,LKR,743.38,1040.74,892.06,"the retail price range in sri lanka rupee for amaranth is between lkr 743.38 and lkr 1,040.74 per kilogram or between lkr 337.14 and lkr 471.99 per pound(lb) in colombo and jaffna."
Anchovies,Colombo City,KG,actual,Retail,LKR,287.6,4981.07,2634.34,"the retail price range in sri lanka rupee for anchovies is between lkr 287.60 and lkr 4,981.07 per kilogram or between lkr 130.43 and lkr 2,258.99 per pound(lb) in colombo and jaffna."
Anise,Colombo City,KG,actual,Retail,LKR,2556.28,4736.63,3646.45,"the retail price range in sri lanka rupee for anise is between lkr 2,556.28 and lkr 4,736.63 per kilogram or between lkr 1,159.31 and lkr 2,148.13 per pound(lb) in colombo and jaffna."
Antarctic toothfish,Colombo City,KG,actual,Retail,LKR,7255.86,8907.61,8081.74,"the retail price range in sri lanka rupee for antarctic toothfish is between lkr 7,255.86 and lkr 8,907.61 per kilogram or between lkr 3,290.64 and lkr 4,039.73 per pound(lb) in colombo and jaffna."
Apple juice,Colombo City,KG,actual,Retail,LKR,148.37,296.74,222.56,the retail price range in sri lanka rupee for apple juice is between lkr 148.37 and lkr 296.74 per kilogram or between lkr 67.29 and lkr 134.58 per pound(lb) in colombo and jaffna.
Apples,Colombo City,KG,actual,Retail,LKR,416.55,639.71,528.13,the retail price range in sri lanka rupee for apples is between lkr 416.55 and lkr 639.71 per kilogram or between lkr 188.91 and lkr 290.12 per pound(lb) in colombo and jaffna.
Apricots,Colombo City,KG,actual,Retail,LKR,1192.43,1546.52,1369.47,"the retail price range in sri lanka rupee for apricots is between lkr 1,192.43 and lkr 1,546.52 per kilogram or between lkr 540.78 and lkr 701.37 per pound(lb) in colombo and jaffna."
Arame seaweed,Colombo City,KG,actual,Retail,LKR,1335.32,1928.8,1632.06,"the retail price range in sri lanka rupee for arame seaweed is between lkr 1,335.32 and lkr 1,928.80 per kilogram or between lkr 605.59 and lkr 874.74 per pound(lb) in colombo and jaffna."
Areca (Betel) Nut,Colombo City,KG,actual,Retail,LKR,734.85,1028.78,881.82,"the retail price range in sri lanka rupee for areca (betel) nut is between lkr 734.85 and lkr 1,028.78 per kilogram or between lkr 333.26 and lkr 466.57 per pound(lb) in colombo and jaffna."
Artichoke hearts,Colombo City,KG,actual,Retail,LKR,1417.98,2238.92,1828.45,"the retail price range in sri lanka rupee for artichoke hearts is between lkr 1,417.98 and lkr 2,238.92 per kilogram or between lkr 643.08 and lkr 1,015.38 per pound(lb) in colombo and jaffna."
Artichokes,Colombo City,KG,actual,Retail,LKR,878.03,2422.15,1650.09,"the retail price range in sri lanka rupee for artichokes is between lkr 878.03 and lkr 2,422.15 per kilogram or between lkr 398.20 and lkr 1,098.48 per pound(lb) in colombo and jaffna."
Arugula,Colombo City,KG,actual,Retail,LKR,968.6,1266.63,1117.62,"the retail price range in sri lanka rupee for arugula is between lkr 968.60 and lkr 1,266.63 per kilogram or between lkr 439.27 and lkr 574.44 per pound(lb) in colombo and jaffna."
