Main Meal,Side Meal,Complete Meal,Ingredients,Quantities,Meal_Ingredient_Ids
Kottu Roti,Chicken Curry,Kottu Roti with Chicken Curry,"Roti, carrot, leeks,  Chicken, Coconut Oil, Chilli Powder, Chicken,  Coconut milk,  Spices","30.0, 20.0, 27.5, 20.0, 5.0, 2.5, 40.0, 10.0, 5.0","SLI019, SLB002, SLD055, SLH006, SLK004, SLK002, SLI005, SLK006"
Kottu Roti,Chicken Curry,Kottu Roti with Chicken Curry,"Roti, carrot, leeks,  Chicken, Coconut Oil, Chilli Powder, Chicken,  Coconut milk,  Spices","30.0, 20.0, 27.5, 20.0, 5.0, 2.5, 40.0, 10.0, 5.0","SLI019, SLB002, SLD055, SLH006, SLK004, SLK002, SLI005, SLK006"
Kottu Roti,Devilled Chicken,Kottu Roti with Devilled Chicken,"Roti, carrot, leeks,  Chicken, Coconut Oil, Chilli Powder, Chicken,  Chili,  Curry leaves, Onion","30.0, 20.0, 27.5, 20.0, 5.0, 2.5, 50.0, 5.0, 10.0, 20.0","SLI019, SLB002, SLD055, SLH006, SLK004, SLK002, SLK009, SLD060"
Kottu Roti,Devilled Fish,Kottu Roti with Devilled Fish,"Roti, carrot, leeks,  Chicken, Coconut Oil, Chilli Powder, Fish,  Chili,  Curry leaves, Onion","30.0, 20.0, 27.5, 20.0, 5.0, 2.5, 50.0, 5.0, 5.0, 20.0","SLI019, SLB002, SLD055, SLH006, SLK004, SLK002, SLF006, SLK009, SLD060"
Kottu Roti,Seer Fish Curry,Kottu Roti with Seer Fish Curry,"Roti, carrot, leeks,  Chicken, Coconut Oil, Chilli Powder, Seer fish,  Coconut milk,  Chillies","30.0, 20.0, 27.5, 20.0, 5.0, 2.5, 50.0, 25.0, 10.0","SLI019, SLB002, SLD055, SLH006, SLK004, SLK002, SLF025,  SLI005"
Kottu Roti,Ginger Chicken,Kottu Roti with Ginger Chicken,"Roti, carrot, leeks,  Chicken, Coconut Oil, Chilli Powder, Chicken,  Ginger,  Chillies","30.0, 20.0, 27.5, 20.0, 5.0, 2.5, 50.0, 25.0, 10.0","SLI019, SLB002, SLD055, SLH006, SLK004, SLK002, SLK012"
Kiribath,Fish Ambul Thiyal,Kiribath with Fish Ambul Thiyal,"Rice,  Coconut milk, Fish,  Goraka,  Spices","85.0, 15.0, 80.0, 10.0, 10.0","SLA009, SLI005, SLF006, SLK005, SLK006"
Kiribath,Dhal Curry,Kiribath with Dhal Curry,"Rice,  Coconut milk, Dhal,  Spices, Termeric powder","85.0, 25.0, 80.0, 5.0, 5.0","SLA009, SLI005, SLC009, SLK006, SLK019"
Kiribath,Chicken Curry,Kiribath with Chicken Curry,"Rice,  Coconut milk, Chicken,  Spices","85.0, 25.0, 40.0, 5.0","SLA009, SLI005, SLH006, SLK006"
Kiribath,Lunu Miris,Kiribath with Lunu Miris,"Rice,  Coconut milk, Onion,  Chili,  Salt","85.0, 15.0, 20.0, 50.0, 30.0","SLA009, SLI005, SLD060, SLK002, SLE028, SLK011"
Kiribath,Seeni Sambol,Kiribath with Seeni Sambol,"Rice,  Coconut milk, Onion,  Sugar,  chillii","85.0, 15.0, 50.0, 5.0, 5.0","SLA009, SLI005, SLD060, SLI011, SLK002"
Kiribath,Chicken Curry,Kiribath with Chicken Curry,"Rice,  Coconut milk, Chicken,  Spices","85.0, 25.0, 40.0, 5.0","SLA009, SLI005, SLH006, SLK006"
Pittu,Lunu Miris,Pittu with Lunu Miris,"Rice flour,  Coconut, Onion,  Chili,  Salt","25.0, 10.0, 20.0, 50.0, 30.0","SLI019, SLI005, SLD060, SLK002, SLE028, SLK011"
Lamprais,Chicken Curry,Lamprais with Chicken Curry,"Rice,  Meat,  Spices, Chicken,  Coconut milk","100.0, 30.0, 15.0, 40.0, 10.0","SLA008, SLH006, SLK006, SLI005"
Lamprais,Chicken Curry,Lamprais with Chicken Curry,"Rice,  Meat,  Spices, Chicken,  Coconut milk","100.0, 30.0, 15.0, 40.0, 10.0","SLA008, SLH006, SLK006, SLI005"
String Hoppers,Chicken Curry,String Hoppers with Chicken Curry,"Rice flour, Chicken,  Coconut milk,  Spices","85.0, 40.0, 10.0, 5.0","SLI019, SLH006, SLI005, SLK006"
String Hoppers,Pol Sambol,String Hoppers with Pol Sambol,"Rice flour, Coconut,  Chili,  Onion, Lime, Garlic","85.0, 50.0, 5.0, 10.0, 3.0, 3.0","SLI019, SLI005, SLK002, SLD060, SLE028, SLK011"
String Hoppers,Parippu,String Hoppers with Parippu,"Rice flour, Dhal,  Coconut milk, Termeric powder","85.0, 10.0, 10.0, 5.0","SLI019, SLC009, SLI005, SLK019"
String Hoppers,Jackfruit Curry,String Hoppers with Jackfruit Curry,"Rice flour, Jackfruit,  Coconut milk, curry leaves","85.0, 15.0, 10.0, 5.0","SLI019, SLD049, SLI005, SLK009"
String Hoppers,Chicken Curry,String Hoppers with Chicken Curry,"Rice flour, Chicken,  Coconut milk,  Spices","85.0, 40.0, 10.0, 5.0","SLI019, SLH006, SLI005, SLK006"
String Hoppers,Potato Curry,String Hoppers with Potato Curry,"Rice flour, Potato,  Coconut milk,  Spices, curry leaves, Turmeric Powder","85.0, 20.0, 30.0, 10.0, 5.0, 2.0","SLI019, SLB006, SLI005, SLK006, SLK009, SKL019"
String Hoppers,Cuttlefish Curry,String Hoppers with Cuttlefish Curry,"Rice flour, Cuttlefish,  Coconut milk,  Spices","85.0, 50.0, 25.0, 10.0","SLI019, SLK007, SLI005, SLK006"
String Hoppers,Thalapath Fish Curry,String Hoppers with Thalapath Fish Curry,"Rice flour, Thalapath fish,  Coconut milk,  Spices","85.0, 50.0, 25.0, 10.0","SLI019, SLF019, SLI005, SLK006"
String Hoppers,Egg Curry,String Hoppers with Egg Curry,"Rice flour, Egg,  Coconut milk,  Chillies","85.0, 50.0, 25.0, 10.0","SLI019, SLH001,  SLI005, SLK002"
String Hoppers,Prawn Curry,String Hoppers with Prawn Curry,"Rice flour, Prawn,  Coconut milk,  Chillies","85.0, 50.0, 25.0, 10.0","SLI019, SLF043,  SLI005, SLK002"
String Hoppers,Kochchi Sambol,String Hoppers with Kochchi Sambol,"Rice flour, Green chili,  Coconut","85.0, 10.0, 30.0","SLI019, SLK002, SLI005"
String Hoppers,Coconut Sambol,String Hoppers with Coconut Sambol,"Rice flour, Coconut,  Chili,  Onion","85.0, 50.0, 15.0, 20.0","SLI019, SLI005,  SLK002, SLD060"
String Hoppers,Kiri Hodi,String Hoppers with Kiri Hodi,"Rice flour, Coconut milk","85.0, 60.0","SLI019, SLI005"
String Hoppers,Maalu Badun,String Hoppers with Maalu Badun,"Rice flour, Fish,  Oil","85.0, 90.0, 15.0","SLI019, SLF035, SLJ002"
String Hoppers,Spicy Crab,String Hoppers with Spicy Crab,"Rice flour, Crab,  Oil,  chillies","85.0, 70.0, 20.0, 10.0","SLI019, SLF045, SLJ002, SLK002"
Vegetable Fried Rice,Chicken Curry,Vegetable Fried Rice with Chicken Curry,"Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk","100.0, 20.0, 20.0, 5.0, 8.0, 2.5, 40.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLI005"
Vegetable Fried Rice,Parippu,Vegetable Fried Rice with Parippu,"Rice, carrot, leeks, onion,  Spices, curry leaves, Dhal,  Coconut milk, Termeric powder","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 10.0, 10.0, 5.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLC009, SLI005, SLK019"
