Main Meal,Side Meal,Complete Meal,Ingredients,Quantities,Meal_Ingredient_Ids,Energy(Kcal),Protein(g),Total fat(g),Carbohydrates(g),Total Dietary Fibre(g),Vitamin A(µg),Vitamin D(µg),Viatmin K(µg),Vitamin E(mg),Calcium(mg),Phosphorus(mg),Magnesium(mg),Sodium(mg),Potassium(mg),Saturated Fatty Acids(mg),Monounsaturated Fatty Acids(mg),Polyunsaturated Fatty Acids(mg),Free sugar(g),Starch(g)
Kottu Roti,Chicken Curry,Kottu Roti with Chicken Curry,"Roti, carrot, leeks,  Chicken, Coconut Oil, Chilli Powder, Chicken,  Coconut milk,  Spices","30.0, 20.0, 27.5, 20.0, 5.0, 2.5, 40.0, 10.0, 5.0","SLI019, SLB002, SLD055, SLH006, SLK004, SLK002, SLI005, SLK006",614.4,16.668,57.858000000000004,33.294,22.659,398.13,2.031,41.766,2.235,257.154,284.427,165.981,45.792,998.376,13702.749,4716.746999999999,1464.981,4.158,26.031
Kottu Roti,Chicken Curry,Kottu Roti with Chicken Curry,"Roti, carrot, leeks,  Chicken, Coconut Oil, Chilli Powder, Chicken,  Coconut milk,  Spices","30.0, 20.0, 27.5, 20.0, 5.0, 2.5, 40.0, 10.0, 5.0","SLI019, SLB002, SLD055, SLH006, SLK004, SLK002, SLI005, SLK006",614.4,16.668,57.858000000000004,33.294,22.659,398.13,2.031,41.766,2.235,257.154,284.427,165.981,45.792,998.376,13702.749,4716.746999999999,1464.981,4.158,26.031
Kottu Roti,Devilled Chicken,Kottu Roti with Devilled Chicken,"Roti, carrot, leeks,  Chicken, Coconut Oil, Chilli Powder, Chicken,  Chili,  Curry leaves, Onion","30.0, 20.0, 27.5, 20.0, 5.0, 2.5, 50.0, 5.0, 10.0, 20.0","SLI019, SLB002, SLD055, SLH006, SLK004, SLK002, SLK009, SLD060",486.3,14.126999999999999,34.128,29.394,10.943999999999999,807.78,40.347,192.24900000000002,1.461,244.31699999999998,165.102,109.74,41.619,670.476,614.352,432.53999999999996,722.118,1.836,25.659
Kottu Roti,Devilled Fish,Kottu Roti with Devilled Fish,"Roti, carrot, leeks,  Chicken, Coconut Oil, Chilli Powder, Fish,  Chili,  Curry leaves, Onion","30.0, 20.0, 27.5, 20.0, 5.0, 2.5, 50.0, 5.0, 5.0, 20.0","SLI019, SLB002, SLD055, SLH006, SLK004, SLK002, SLF006, SLK009, SLD060",486.3,14.126999999999999,34.128,29.394,10.943999999999999,807.78,40.347,192.24900000000002,1.461,244.31699999999998,165.102,109.74,41.619,670.476,614.352,432.53999999999996,722.118,1.836,25.659
Kottu Roti,Seer Fish Curry,Kottu Roti with Seer Fish Curry,"Roti, carrot, leeks,  Chicken, Coconut Oil, Chilli Powder, Seer fish,  Coconut milk,  Chillies","30.0, 20.0, 27.5, 20.0, 5.0, 2.5, 50.0, 25.0, 10.0","SLI019, SLB002, SLD055, SLH006, SLK004, SLK002, SLF025,  SLI005",501.6,18.051,35.292,27.48,3.8789999999999996,415.65,2.217,31.344,0.5640000000000001,32.709,226.227,43.074,40.941,523.176,1179.549,741.1469999999999,946.281,1.5060000000000002,24.447
Kottu Roti,Ginger Chicken,Kottu Roti with Ginger Chicken,"Roti, carrot, leeks,  Chicken, Coconut Oil, Chilli Powder, Chicken,  Ginger,  Chillies","30.0, 20.0, 27.5, 20.0, 5.0, 2.5, 50.0, 25.0, 10.0","SLI019, SLB002, SLD055, SLH006, SLK004, SLK002, SLK012",477.6,12.036,33.981,30.309,5.2589999999999995,395.586,2.8529999999999998,39.717,0.468,35.961,149.526,50.034,34.005,501.576,578.049,439.0799999999999,636.981,1.8990000000000002,25.596
Kiribath,Fish Ambul Thiyal,Kiribath with Fish Ambul Thiyal,"Rice,  Coconut milk, Fish,  Goraka,  Spices","85.0, 15.0, 80.0, 10.0, 10.0","SLA009, SLI005, SLF006, SLK005, SLK006",905.25,27.497500000000002,77.3245,98.34500000000001,85.561,31.025,36.7625,195.551,5.9925,1044.4205,683.4000000000001,727.702,208.78549999999998,3083.8,40146.34999999999,13164.8,6165.9,9.52,75.76049999999998
Kiribath,Dhal Curry,Kiribath with Dhal Curry,"Rice,  Coconut milk, Dhal,  Spices, Termeric powder","85.0, 25.0, 80.0, 5.0, 5.0","SLA009, SLI005, SLC009, SLK006, SLK019",1256.3,48.331,75.0805,169.745,83.3255,28.636499999999998,16.337,47.43,8.1855,776.9,1100.75,665.3375,75.548,4648.65,39372.051,13092.55,5164.599999999999,10.395499999999998,142.36649999999997
Kiribath,Chicken Curry,Kiribath with Chicken Curry,"Rice,  Coconut milk, Chicken,  Spices","85.0, 25.0, 40.0, 5.0","SLA009, SLI005, SLH006, SLK006",895.9000000000001,42.032500000000006,77.996,82.42450000000001,55.913000000000004,25.822999999999997,1.1050000000000002,59.2535,5.576,661.1215,737.8000000000001,423.555,70.5925,2148.8,38506.7,13512.45,3511.35,7.667,68.65449999999998
Kiribath,Lunu Miris,Kiribath with Lunu Miris,"Rice,  Coconut milk, Onion,  Chili,  Salt","85.0, 15.0, 20.0, 50.0, 30.0","SLA009, SLI005, SLD060, SLK002, SLE028, SLK011",709.7500000000001,23.494,56.720499999999994,103.61500000000002,30.4215,32.74199999999999,11.7215,258.961,6.595999999999999,114.61400000000002,519.4350000000001,223.805,42.874,1811.3500000000001,37334.69449999999,3686.5265000000004,1906.992,13.939999999999998,80.54599999999999
