Main Meal,Side Meal,Complete Meal,Ingredients,Quantities,Meal_Ingredient_Ids,Energy(Kcal),Protein(g),Total fat(g),Carbohydrates(g),Total Dietary Fibre(g),Vitamin A(µg),Vitamin D(µg),Viatmin K(µg),Vitamin E(mg),Calcium(mg),Phosphorus(mg),Magnesium(mg),Sodium(mg),Potassium(mg),Saturated Fatty Acids(mg),Monounsaturated Fatty Acids(mg),Polyunsaturated Fatty Acids(mg),Free sugar(g),Starch(g)
Kottu Roti,Chicken Curry,Kottu Roti with Chicken Curry,"Roti, carrot, leeks,  Chicken, Coconut Oil, Chilli Powder,  Coconut milk,  Spices","30.0, 20.0, 27.5, 60.0, 5.0, 2.5, 10.0, 5.0","SLI019, SLB002, SLD055, SLH006, SLK004, SLK002, SLI005, SLK006",614.4,16.668,57.858000000000004,33.294,22.659,398.13,2.031,41.766,2.235,257.154,284.427,165.981,45.792,998.376,13702.749,4716.746999999999,1464.981,4.158,26.031
Kottu Roti,Chicken Curry,Kottu Roti with Chicken Curry,"Roti, carrot, leeks,  Chicken, Coconut Oil, Chilli Powder,  Coconut milk,  Spices","30.0, 20.0, 27.5, 60.0, 5.0, 2.5, 10.0, 5.0","SLI019, SLB002, SLD055, SLH006, SLK004, SLK002, SLI005, SLK006",614.4,16.668,57.858000000000004,33.294,22.659,398.13,2.031,41.766,2.235,257.154,284.427,165.981,45.792,998.376,13702.749,4716.746999999999,1464.981,4.158,26.031
Kottu Roti,Devilled Chicken,Kottu Roti with Devilled Chicken,"Roti, carrot, leeks,  Chicken, Coconut Oil, Chilli Powder,  Curry leaves, Onion","30.0, 20.0, 27.5, 70.0, 5.0, 7.5, 10.0, 20.0","SLI019, SLB002, SLD055, SLH006, SLK004, SLK002, SLK009, SLD060",486.3,14.126999999999999,34.128,29.394,10.943999999999999,807.78,40.347,192.24900000000002,1.461,244.31699999999998,165.102,109.74,41.619,670.476,614.352,432.53999999999996,722.118,1.836,25.659
Kottu Roti,Devilled Fish,Kottu Roti with Devilled Fish,"Roti, carrot, leeks,  Chicken, Coconut Oil, Chilli Powder, Fish,  Curry leaves, Onion","30.0, 20.0, 27.5, 20.0, 5.0, 7.5, 50.0, 5.0, 20.0","SLI019, SLB002, SLD055, SLH006, SLK004, SLK002, SLF006, SLK009, SLD060",486.3,14.126999999999999,34.128,29.394,10.943999999999999,807.78,40.347,192.24900000000002,1.461,244.31699999999998,165.102,109.74,41.619,670.476,614.352,432.53999999999996,722.118,1.836,25.659
Kottu Roti,Seer Fish Curry,Kottu Roti with Seer Fish Curry,"Roti, carrot, leeks,  Chicken, Coconut Oil, Chilli Powder, Seer fish,  Coconut milk","30.0, 20.0, 27.5, 20.0, 5.0, 12.5, 50.0, 25.0","SLI019, SLB002, SLD055, SLH006, SLK004, SLK002, SLF025,  SLI005",501.6,18.051,35.292,27.48,3.8789999999999996,415.65,2.217,31.344,0.5640000000000001,32.709,226.227,43.074,40.941,523.176,1179.549,741.1469999999999,946.281,1.5060000000000002,24.447
Kottu Roti,Ginger Chicken,Kottu Roti with Ginger Chicken,"Roti, carrot, leeks,  Chicken, Coconut Oil, Chilli Powder,  Ginger","30.0, 20.0, 27.5, 70.0, 5.0, 12.5, 25.0","SLI019, SLB002, SLD055, SLH006, SLK004, SLK002, SLK012",477.6,12.036,33.981,30.309,5.2589999999999995,395.586,2.8529999999999998,39.717,0.468,35.961,149.526,50.034,34.005,501.576,578.049,439.0799999999999,636.981,1.8990000000000002,25.596
Kiribath,Fish Ambul Thiyal,Kiribath with Fish Ambul Thiyal,"Rice,  Coconut milk, Fish,  Goraka,  Spices","85.0, 15.0, 80.0, 10.0, 10.0","SLA009, SLI005, SLF006, SLK005, SLK006",905.25,27.497500000000002,77.3245,98.34500000000001,85.561,31.025,36.7625,195.551,5.9925,1044.4205,683.4000000000001,727.702,208.78549999999998,3083.8,40146.34999999999,13164.8,6165.9,9.52,75.76049999999998
Kiribath,Dhal Curry,Kiribath with Dhal Curry,"Rice,  Coconut milk, Dhal,  Spices, Termeric powder","85.0, 25.0, 80.0, 5.0, 5.0","SLA009, SLI005, SLC009, SLK006, SLK019",1256.3,48.331,75.0805,169.745,83.3255,28.636499999999998,16.337,47.43,8.1855,776.9,1100.75,665.3375,75.548,4648.65,39372.051,13092.55,5164.599999999999,10.395499999999998,142.36649999999997
Kiribath,Chicken Curry,Kiribath with Chicken Curry,"Rice,  Coconut milk, Chicken,  Spices","85.0, 25.0, 40.0, 5.0","SLA009, SLI005, SLH006, SLK006",895.9000000000001,42.032500000000006,77.996,82.42450000000001,55.913000000000004,25.822999999999997,1.1050000000000002,59.2535,5.576,661.1215,737.8000000000001,423.555,70.5925,2148.8,38506.7,13512.45,3511.35,7.667,68.65449999999998
Kiribath,Lunu Miris,Kiribath with Lunu Miris,"Rice,  Coconut milk, Onion,  Chili,  Salt, Lime","85.0, 15.0, 20.0, 50.0, 30.0","SLA009, SLI005, SLD060, SLK002, SLE028",606.0500000000001,17.748,56.601499999999994,85.12750000000003,25.721,32.74199999999999,10.2255,257.244,6.553499999999999,102.16150000000002,432.735,203.34550000000002,33.847,1490.9,37305.36099999999,3674.3205000000003,1853.3315,9.774999999999999,67.20949999999999
Kiribath,Seeni Sambol,Kiribath with Seeni Sambol,"Rice,  Coconut milk, Onion,  Sugar,  chillii","85.0, 15.0, 50.0, 5.0, 5.0","SLA009, SLI005, SLD060, SLI011, SLK002",912.9,17.187,56.3805,165.88600000000002,24.089,32.43599999999999,7.0634999999999994,252.99400000000003,6.264499999999999,80.06150000000001,416.194,190.383,33.158500000000004,1320.9,37235.95849999999,3641.927,1837.5215,91.8765,66.73349999999999
Kiribath,Chicken Curry,Kiribath with Chicken Curry,"Rice,  Coconut milk, Chicken,  Spices","85.0, 25.0, 40.0, 5.0","SLA009, SLI005, SLH006, SLK006",895.9000000000001,42.032500000000006,77.996,82.42450000000001,55.913000000000004,25.822999999999997,1.1050000000000002,59.2535,5.576,661.1215,737.8000000000001,423.555,70.5925,2148.8,38506.7,13512.45,3511.35,7.667,68.65449999999998
Pittu,Lunu Miris,Pittu with Lunu Miris,"Rice flour,  Coconut, Onion,  Chili,  Salt, Lime","25.0, 10.0, 20.0, 50.0, 30.0","SLI019, SLI005, SLD060, SLK002, SLE028",177.0,5.53,16.497500000000006,24.8075,7.360000000000001,9.629999999999999,3.0075,75.70500000000001,1.925,30.6,116.02499999999999,58.455,9.940000000000001,418.23,10951.915,1015.6825,504.09749999999997,2.85,19.5525
Lamprais,Chicken Curry,Lamprais with Chicken Curry,"Rice,  Meat,  Spices,  Coconut milk","100.0, 70.0, 15.0, 10.0","SLA008, SLH006, SLK006, SLI005",1056.0,49.28,91.48,98.79,63.77,30.38,1.3,69.6,6.550000000000001,779.63,836.0,488.78000000000003,83.53000000000002,2514.0,45377.0,15707.0,4012.0,8.98,81.34
