Breakfast,Lunch,Dinner,Combined Ingredients,Total Energy (Kcal),Total Protein (g),Total Fat (g),Total Carbohydrates (g),Total Magnesium (mg),Total Sodium (mg),Total Potassium (mg),Total Saturated Fatty Acids (mg),Total Monounsaturated Fatty Acids (mg),Total Polyunsaturated Fatty Acids (mg),Total Free Sugar (g),Total Starch (g)
Pol Roti with Lunu Miris,"Red Rice with Sweet Corn Curry, Octopus Curry, Mustard Greens Curry",Kurakkan Roti with Malu Mirisata,"Fish, Lime, Octopus, Coconut,  Chili,  Coconut milk, Millet, Mustard greens,  Chillies, Red rice, Sweet corn,  Salt,  curry leaves, Onion,  Flour",829.1999999999999,41.269999999999996,23.837999999999997,135.93200000000002,316.336,146.141,1892.8000000000002,13896.920999999998,1887.1509999999998,2145.956,7.591,115.489
"Red Rice with Jackfruit Curry, Gotu Kola Sambol, Cuttlefish Curry, Bitter Leaf Curry, Radish Sambol","Red Rice with Bean Curry, Kohila Curry, Sinhala Achcharu",Pol Roti with Malu Mirisata,"Kohila,  Chili,  pepper, Bitter leaves, Radish, Beans, Cuttlefish, Carrot, Coconut,  onion, curry leaves,  Chillies, Gotu Kola, Fish,  curry leaves,  Onion,  Vinegar, Jackfruit,  Coconut milk,  Spices, Red rice,  Flour",1206.4,51.493,89.61999999999999,141.65,824.887,189.243,5061.2,49671.97,13387.357999999998,5413.956,15.036,110.45
Pol Roti with Seeni Sambol,"Red Rice with Papaya Curry, Octopus Curry, Murukku",Vegetable Kottu with Devilled Fish," chillii,  Chili, Octopus,  leeks, Coconut,  Chillies, flour, Fish, Onion,  Carrot,  Sugar,  Coconut milk,  Spices,  Curry leaves, Red rice,  Chilli, Flour,  Flour, Papaya",1218.2,32.35,63.099000000000004,153.91,357.95799999999997,137.703,2009.6,13866.55,1510.705,2169.33,37.760999999999996,107.162
"Red Rice with Sweet Corn Curry, Pumpkin Leaves Curry, Radish Sambol","Red Rice with Bean Curry, Coconut Sambol, Beetroot curry","Red Rice with Devilled Chicken, Ginger Chicken, Gotu Kola Sambol"," chillies,  Chili,  pepper, Radish, Beans,  Ginger,  Coconut,  Chillies, curry leaves, Gotu Kola, Beetroot, Sweet corn, Pumpkin leaves,  Onion, Onion, Chicken,  Coconut milk,  Spices,  Curry leaves, Red rice",1230.4,52.464,93.71199999999999,151.58800000000002,692.9159999999999,153.904,4295.2,54048.372,10245.011999999999,5045.62,14.608,118.172
"Red Rice with Chicken Curry, Devilled Fish, Vegetable Cutlets","Red Rice with Pumpkin Leaves Curry, Okra Curry, Ulundu Wade, Radish Sambol",Pol Roti with Malu Mirisata," Chili,  pepper, Radish,  Coconut, Carrot, Coconut,  Chillies,  Potatoes,  flour, Fish, Okra,  curry leaves, Pumpkin leaves, Onion, Chicken,  Oil,  Coconut milk,  Spices,  Curry leaves, Red rice, Urad,  Flour",1247.6000000000001,63.073,86.008,153.80599999999998,585.555,132.971,3717.2,49235.534,9458.75,4239.952,12.46,103.514
Pol Roti with Seeni Sambol,"Red Rice with Thalapath Fish Curry, Fish Patties, Sinhala Achcharu, Shrimp Cutlets",Pol Roti with Lunu Miris," chillii,  Chili, Carrot, Coconut,  onion, Shrimp,  green chillies,  Potatoes,  flour, Fish, Thalapath fish, Onion,  Vinegar, Lime,  Oil,  Sugar,  Coconut milk,  Spices, Red rice,  Salt,  Flour",1248.8999999999999,57.370000000000005,74.672,174.102,439.53599999999994,115.08500000000001,3019.2999999999997,44672.154,8625.885,3580.9089999999997,46.577,116.36300000000001
"Red Rice with Malu Mirisata, Brinjal Moju, Garlic curry","Red Rice with Sweet Corn Curry, Gotu Kola Sambol, Batu Moju","Red Rice with Devilled Chicken, Green Banana Curry, Fish Patties, Jaffna Crab Curry, potatoe cheese Balls"," Chili,  pepper, Garlic,  Coconut,  garlic, Green banana,  Chillies, Eggplant,  Potatoes, Gotu Kola, Fish, Crab, Sweet corn,  curry leaves,  Onion, Onion,  Vinegar, cheese, Chicken,  Oil,  Coconut milk,  Spices,  Curry leaves, Red rice,  Flour",1262.0,74.18799999999999,72.248,148.684,472.53999999999996,773.62,3285.2,36433.227999999996,4430.236,3483.9359999999997,13.044,117.0
"Red Rice with Bitter Gourd Curry, Bottle Gourd Curry, Seer Fish Curry, Prawn Curry, Indian Fish Curry","Red Rice with Bean Curry, Coconut Sambol, Beetroot curry","Red Rice with Devilled Fish, Octopus Curry, Carrot curry"," chillies,  Chili, Bottle gourd, Beans, Octopus, Carrot, Bitter gourd,  Chillies, curry leaves, Prawn, Fish, Beetroot,  Onion, Onion, Seer fish,  Coconut milk,  Spices,  Curry leaves, Red rice",1273.6,68.504,98.97200000000001,131.78,800.02,353.256,4247.6,55458.748,14569.852,6003.964,15.572,103.512
"Red Rice with Pineapple Curry, Carrot Sambol, Cucumber Sambol, Sinhala Achcharu","Red Rice with Bitter Gourd Curry, Thalapath Fish Curry, Mustard Greens Curry, Fish Curry","Red Rice with Capsicum Curry, Collard Greens Curry, Fish Cutlets, Kochchi Sambol, Tropical Salad","Cucumber,  pepper, Mustard greens,  Pineapple,  Apple,  Coconut, Carrot, Mango,  onion, Bitter gourd,  Chillies, curry leaves,  green chillies,  Potatoes, Collard greens, Fish, Thalapath fish, Capsicum,  Vinegar,  Carrot,  Cucumber,  Coconut milk,  Spices, Red rice, Pineapple",1299.6,64.87199999999999,97.632,145.432,670.7239999999999,340.92,4032.8,54834.53199999999,14407.392,5315.872,25.567999999999998,101.86
"Red Rice with Potato Curry, Fish Patties, Coconut Sambol, Batu Moju","Red Rice with Jaffna Crab Curry, Gotu Kola Sambol, Coconut Sambol",Coconut Roti with Cuttlefish Curry,"Potato,  Chili, Turmeric Powder,  Coconut,  garlic, Cuttlefish, Coconut, curry leaves,  Chillies, Eggplant, Gotu Kola, Fish, Crab,  Onion,  Oil,  Coconut milk,  Spices, Red rice,  Flour",1308.4,55.979,106.6425,150.781,744.002,262.6245,4106.056,60371.886,15882.088500000002,5189.584000000001,15.1215,121.65950000000001
"Red Rice with Pumpkin Leaves Curry, Okra Curry, Ulundu Wade, Radish Sambol","Red Rice with Malu Mirisata, Brinjal Moju, Garlic curry","Red Rice with Drumstick Curry, Jaffna Crab Curry, Coconut Sambol"," Chili,  pepper, Drumstick, Radish, Garlic,  Coconut,  Chillies, Eggplant,  flour, Fish, Okra, Crab,  curry leaves, Pumpkin leaves,  Onion,  Vinegar,  Oil,  Coconut milk,  Spices, Red rice, Urad",1317.2,63.188,89.348,172.928,579.4839999999999,238.672,3915.2,53434.327999999994,9692.224,4298.46,14.416,118.364
"Red Rice with Malu Mirisata, Brinjal Moju, Garlic curry","Red Rice with Potato Curry, Bitter Gourd Salad, Capsicum Curry, Vegetable Cutlets, Indian Fish Curry",Egg Kottu with Ginger Chicken,"Potato,  Chili, Turmeric Powder, Garlic,  Ginger, Carrot,  leeks, Bitter gourd, curry leaves,  Chillies, Eggplant,  Potatoes, Fish, Capsicum,  Egg,  curry leaves,  Onion,  Vinegar, Chicken,  Carrot,  Coconut milk,  Spices, Red rice,  Chilli, Flour",1322.2,76.325,70.998,162.523,612.522,293.639,4025.6,37341.098,8934.315,4580.028,14.309999999999999,132.301
Kurakkan Roti with Fish Ambul Thiyal,"Red Rice with Collard Greens Curry, Gotu Kola Sambol, Carrot curry, Chickpea Salad, Indian Fish Curry",Vegetable Kottu with Ginger Chicken," chillies, Chickpeas,  Ginger,  Coconut,  Goraka, Carrot,  leeks,  Chillies, curry leaves, Collard greens, Gotu Kola, Fish,  Onion, Chicken,  Carrot, Millet,  Coconut milk,  Cabbage,  Spices, Red rice,  Chilli, Flour,  Flour",1329.4,64.333,49.262,187.655,686.0939999999999,231.59099999999998,3715.2000000000003,20884.017999999996,7640.210999999999,5122.72,12.718,147.005
"Red Rice with Mango Curry, Mustard Greens Curry, Beetroot curry","Red Rice with Devilled Chicken, Green Banana Curry, Fish Patties, Jaffna Crab Curry, potatoe cheese Balls","Red Rice with Drumstick Curry, Jaffna Crab Curry, Coconut Sambol"," chillies,  Chili,  pepper, Drumstick, Mustard greens, Mango, Green banana,  Chillies, curry leaves,  Potatoes, Fish, Crab, Beetroot,  Onion, Onion, cheese, Chicken,  Oil,  Coconut milk,  Spices,  Curry leaves, Red rice,  Flour",1342.0,72.63199999999999,85.428,139.192,742.968,905.44,3912.0,37022.712,12867.492,4828.639999999999,15.288,106.77600000000001
"Red Rice with Sweet Corn Curry, Sesame Seed Sambol, Seer Fish Curry, Vegetable Balls","Red Rice with Sweet Corn Curry, Pumpkin Leaves Curry, Radish Sambol",Coconut Roti with Cuttlefish Curry," pepper, Radish,  Coconut, Cuttlefish, Carrot,  leeks, Coconut,  Chillies,  Potatoes, Sweet corn, Pumpkin leaves,  Onion, Seer fish,  Jackfruit,  Coconut milk,  Spices, Red rice, Sesame seed,  Flour",1386.0,52.839000000000006,97.6545,162.909,483.822,120.9965,3384.456,43707.78999999999,10966.516500000002,4896.636,10.7175,124.53550000000001
"Red Rice with Eggplant Curry, Collard Greens Curry, Pineapple Pickle","Red Rice with Chicken Curry, Devilled Fish, Vegetable Cutlets",Coconut Roti with Fish Curry,"Fish, Carrot, Chicken,  Flour, Coconut,  Chili,  pepper,  Coconut milk,  Spices,  Curry leaves,  Chillies, Red rice, curry leaves, Eggplant,  Potatoes, Onion, Pineapple, Collard greens",1387.6,66.011,112.90799999999999,140.87,868.471,159.855,4251.96,58630.436,19762.932,5932.108,17.998,109.361
"Red Rice with Devilled Fish, Octopus Curry, Carrot curry","Red Rice with Cabbage Mallung, Sweet Corn Curry, Fenugreek Curry","Red Rice with Fish Ambul Thiyal, Egg Curry, Dry Fish Curry, Jackfruit Mallum","Fish, Octopus, Carrot, Fenugreek, Jackfruit,  Chili,  Coconut milk,  Spices,  Curry leaves,  Chillies, Red rice, Sweet corn, Egg, Cabbage, Onion,  Coconut, Dry fish,  Goraka",1398.0,68.116,106.748,141.892,882.636,381.572,4536.0,57069.46,16637.912,8387.119999999999,15.064,106.06
"Red Rice with Chicken Curry, Elumas Curry, Pineapple Curry, Dry Fish Curry, Gotu Kola Sambol","Red Rice with Pineapple Curry, Sesame Seed Sambol, Pineapple Pickle","Red Rice with Leeks Curry, Pumpkin Leaves Curry, Prawn Curry, Beef Curry","Chicken, Dry fish, Leeks,  Chili, Goat,  pepper,  Coconut milk,  Spices, Beef, curry leaves, Red rice,  Chillies, Sesame seed, Pumpkin leaves,  Onion, Pineapple, Prawn, Gotu Kola",1398.7999999999997,72.06400000000001,96.528,134.708,613.1200000000001,228.64800000000002,3334.3999999999996,38360.7,14205.392,4575.099999999999,15.911999999999999,99.908
